0,-14,9,4,-11,10,0,-9,10,0,0,0,0,12,0,7,0,0,11,0,-8,13,-15,-11,10,10,0,12,0,11,0,0,0,0,10,0,0,-13,0,0,12,-10,-14,-11,0,1,0,0
-8,4,-13,0,-10,0,-10,0,8,12,-10,-11,0,13,12,12,9,0,0,-9,0,0,10,6,-12,11,0,0,6,10,-15,14,10,13,6,-13,-13,-10,0,11,9,-13,0,0,0,0,0,0
-10,-10,-12,5,-7,8,-9,-11,-6,-7,-6,-8,-10,12,11,12,10,-11,11,-6,6,10,-9,-6,10,9,13,13,8,11,-10,6,1,-11,8,-10,-6,-10,-8,4,10,-9,-12,-15,-9,-9,-9,12
10,12,-5,11,8,6,12,7,12,9,-5,4,15,-4,-4,11,0,14,-11,-7,-11,-8,12,-13,-11,-14,1,-1,8,-14,-9,-5,6,-9,-14,-7,-11,10,12,7,0,-12,8,10,12,13,12,0
0,0,0,0,0,0,-13,-14,0,-12,0,-14,-14,0,-12,-8,0,0,-9,-14,0,-9,0,11,-9,0,12,-8,0,-13,0,-11,10,0,-9,0,11,0,11,13,12,12,9,0,14,14,12,0
-5,-13,4,12,10,11,10,-10,11,-7,12,11,12,9,-12,2,-7,13,9,13,10,-11,-15,-9,5,7,11,-14,-12,-12,11,-8,-9,-11,-11,-1,11,-12,-8,-9,0,0,-12,11,10,9,-6,-13
12,11,4,10,11,8,10,-8,12,0,9,9,10,10,-8,10,-10,8,-12,7,9,-13,8,-5,-11,-11,11,-13,0,-13,-12,-10,-10,12,-11,-10,-13,12,8,12,-12,-12,12,8,13,15,14,11
0,-12,0,14,13,15,13,0,12,10,14,8,10,7,-11,0,-13,12,-12,11,11,-10,-13,11,0,0,0,-12,-13,-12,-13,-12,12,-9,-13,-12,0,-11,0,0,-12,-11,0,12,0,9,0,0
-11,-10,-11,-9,-8,-10,-11,-13,-13,-9,7,-12,-13,-6,8,-10,-6,-8,-10,-6,-12,-6,-7,-6,-1,8,15,13,11,-5,6,0,13,9,8,10,8,-11,12,-5,11,8,6,7,-10,11,5,-10
0,-14,0,0,0,0,0,-12,0,-11,0,13,-12,0,0,0,0,-10,0,0,14,-8,-15,12,12,13,0,0,-13,12,0,0,0,0,12,0,0,-12,-13,0,0,0,-11,0,-12,-10,0,-13
8,9,3,-10,9,-8,7,-8,10,10,-11,12,-12,11,-11,7,-13,-4,7,11,12,-13,10,12,-5,12,13,-15,-7,11,-14,12,9,13,-6,-12,-12,-11,-10,0,-10,0,10,-8,-6,-6,-8,9
0,0,0,-11,0,0,0,-13,0,0,0,12,-13,0,0,0,-13,-13,13,0,15,-13,0,0,14,0,0,0,0,13,0,0,0,0,12,0,0,-14,0,-12,0,0,-12,0,0,-12,0,0
-9,-11,12,12,11,12,13,11,9,9,9,14,12,8,11,0,0,12,11,13,11,-10,-13,1,10,9,-9,-11,-11,11,-8,-10,-12,0,-9,0,0,-14,0,-14,-10,-12,-10,0,0,-13,-12,0
11,10,11,9,11,5,12,11,14,12,-9,13,13,12,-5,11,-6,10,8,12,8,-12,7,9,-6,10,-2,-15,-5,10,-13,-11,-12,9,-9,-13,-12,8,-10,-7,-13,-12,-5,-12,11,-10,-5,13
0,0,0,9,13,0,15,0,12,0,0,13,0,0,0,0,0,0,0,13,0,0,0,0,0,11,0,0,-11,0,-12,0,-12,0,0,0,0,0,-14,0,-12,-10,0,0,0,-13,0,0
11,12,-10,-9,8,-9,-8,2,7,8,-9,-11,-3,-1,11,-9,8,-5,-12,-11,5,10,14,3,-11,-12,8,-8,0,-9,-13,-4,8,13,-8,-10,-13,12,10,10,-11,-9,13,-11,10,13,13,15
0,10,-14,-12,13,0,-8,-12,0,0,-11,-11,0,0,10,0,0,0,-8,-9,0,0,15,0,0,0,0,12,13,10,-14,0,12,0,0,-10,0,0,0,0,-8,0,13,0,0,-11,-9,0
-10,-12,-11,-2,6,12,5,-10,-11,-7,9,-9,-6,-4,6,5,11,-8,13,7,-7,12,-13,8,11,12,-8,15,-7,12,14,-5,8,-14,-7,9,14,-13,-12,-12,9,10,-14,-14,-10,-13,-13,-7
